ds,yhat,yhat_lower,yhat_upper
2016-09-01,158652.98129798833,-95140.50863313764,442617.62172585825
2016-10-01,254488.21355116693,-12795.341110600348,527801.0889570585
2016-12-01,77321.1035891072,-201242.23523222972,342865.9648300661
2017-01-01,300404.9170114299,14212.14468362455,580748.5243618685
2017-02-01,508271.1918482623,241715.481763561,790762.2114926788
2017-03-01,650123.6791567181,378035.73611284595,944861.4057977566
2017-04-01,555779.96223958,282390.86787353293,828530.1505463194
2017-05-01,641212.3432935658,357520.98582640657,923415.8316807111
2017-06-01,447295.3417821702,167954.38356170332,726189.16894076
2017-07-01,481941.9144138411,227809.56997337224,785747.0880100462
2017-08-01,529361.3109356086,258281.9095878375,800514.097651017
2017-09-01,258976.13950579066,-4667.642562165068,545545.9132949116
2017-10-01,284324.0471778575,-485.37628505448373,560013.7417320604
2017-11-01,1232502.1482160708,962444.288640444,1514923.4363487558
2017-12-01,821881.4155028171,539147.1229322078,1102450.2354135923
2018-01-01,1007120.0493611471,724645.4011341572,1276456.2229040267
2018-02-01,835189.851530586,569682.9748218909,1104197.5695030224
2018-03-01,1017800.775668981,752666.4686517025,1299563.7049799692
2018-04-01,1094220.0510773351,805285.8270254075,1373792.189250233
2018-05-01,1185826.7563236058,927401.7883815505,1461284.1959635122
2018-06-01,1158706.3283997094,898598.212033304,1453897.3617650566
2018-07-01,1247151.2754536564,983411.9017833121,1512975.7806460243
2018-08-01,1215431.9175216607,957459.1283088881,1508202.2152098324
2018-09-01,350662.0624179257,84235.46029575667,632464.2727603917
2018-10-01,329349.8421112866,67883.8249629326,612469.5757301662
2018-10-31,4559566.276199,4264862.851200542,4842134.666390697
2018-11-30,2302981.639631741,2021633.339725084,2575363.9712207424
2018-12-31,2223746.3623350556,1957183.8458983127,2507343.1452615247
2019-01-31,191717.362538103,-93651.92553379475,458511.38199667097
2019-02-28,740319.2364473951,485293.5809075893,1034785.7570502375
2019-03-31,1692988.8505514222,1436231.54978808,1979986.0553456605
